"","HC_148","HC_025","HC_061","HC_128","HC_064","HC_066","HC_069","HC_105","HC_108","HC_109","HC_110","HC_111","HC_063","HC_130","HC_131","HC_132","HC_020","HC_178","HC_176","HC_027"
"PCDHB2",1.49985713283942,1.24236874995341,1.00257676551262,1.24887552140107,1.20482929669971,1.29896297543901,0.910150736564559,2.51442387469356,1.28086492628808,0.804886897628515,1.67582948487912,3.4009275518376,0.83675377661541,1.26477044376922,2.25781979759613,1.10050704346837,1.9790440166459,1.85452292519757,0.821704624270959,1.84546357866503
"PCDHB16",6.57629665937282,3.12107271329759,5.87223534085963,4.15697137837785,4.24628861885628,5.2127215507877,3.15766582073418,5.06027804782079,4.46617375613606,9.39034713899934,7.92343940657761,3.24885355561722,3.8381531927359,3.32002241489419,3.76303299599355,6.01291529547211,7.05176603632447,4.79898476257267,4.86449137568408,8.7113818390747
"GPX3",16.590727361716,21.8475089930832,30.5308495973962,345.938519428096,53.1741124970272,34.4984322697762,36.0902628805089,48.7483928706214,13.4153747542804,13.8172250759562,144.00373363049,7.96314743844902,16.4622210399336,21.0070465894793,18.3851040661399,16.8106438234154,56.2776424963443,30.1929346418131,128.317394126153,27.086642848148
"RANBP17",1.56908130820123,5.78762027417321,6.82707035563355,6.42278839577693,2.61536115625058,7.03464364620864,4.94081828420761,3.42590252926998,5.20772713451337,3.58845408526046,4.10137216036206,1.25806669600497,2.89225761917065,1.87739362746993,4.17159086413,5.24734517827672,2.77521114977931,3.33488771636406,6.93518702884689,2.93686677034865
"GPRIN1",138.632948524603,78.1177228629243,96.008660735518,69.383955753268,94.402783308483,99.4128417436631,84.1982303846356,106.925875271344,66.4027343365135,54.1454123425515,57.375109469151,99.7881913380643,110.415117914251,187.917221090648,109.902066528703,106.159056251094,87.5101417475491,128.417578697453,61.7921877451761,81.9743015426369
"COL23A1",5.21488787725705,12.2115757617372,11.8160833078273,4.51379295592101,5.3482666341304,12.5510188795665,8.0613350952861,4.7931205111346,2.56172985257615,2.28051287661413,4.71878302321227,3.48387700432145,7.14878770021426,3.83383540767543,5.03171269178566,5.39088957525085,5.18646018155477,4.91285897727778,5.39038233521749,6.34998220615924
"TFAP2A",0.276896701447277,0.484826829250112,0.310321379801525,0.303298340911688,0.176316482443859,0.151826841285079,0.371490096556963,0.314302984336695,0.353923203316442,0.368906494746403,0.235204138228649,0.179723813714995,0.327425390849508,0.335954649126198,0.344048731062268,0.318987548831411,0.523195544630525,0.178945194536608,0.361550034679222,1.28984013562609
"ZSCAN12",18.9443493240179,23.9989280478805,21.1257247018731,20.1068958945572,10.1969699013365,20.2941877851055,17.8872481492178,16.83092481123,15.9602511209843,16.399570539181,16.3172870896125,14.0046325610223,16.4258404409503,16.2443953871609,14.9661198012086,16.8584919557401,12.1017404236278,16.706974071736,18.3733153986986,24.4474314937131
"TNXB",39.5270041315988,69.118124844969,63.8545916130061,79.5712117921253,48.1784788277846,45.3456165971435,42.0341044254204,36.4434310338398,28.2127353500821,28.4896424806426,39.7936001365595,30.6774725102749,42.3833978155197,60.5113609190834,23.8683807174448,33.2704013431162,138.760557488965,53.0003130727517,136.731649478688,93.0470830146271
"RCAN2",22.8209031442797,30.4531852122726,95.7222102310858,75.4677636503789,47.0911938527141,82.2226693803859,88.7861330771141,42.1165999011171,87.2504963604392,141.978695046263,46.9379258352547,45.6774985011034,72.524724073166,42.3895719044526,84.0554056076503,73.2554905891336,21.405522065101,51.0969869126805,10.3863464507849,35.1630264666068
